"","X","B","C","D","E","X.Seq","F","X.TMS","G","X.interior","GG","X.exterior","FF","X.nonTMS","H","X.close","HH","X.far"
"1","Q8RXN0",703,6,126,549,78.0938833570412,104,82.5396825396825,31,73.8095238095238,73,86.9047619047619,445,77.1230502599653,68,85,377,76.008064516129
"2","Q94FB9",1337,8,168,509,38.0703066566941,43,25.5952380952381,17,30.3571428571429,26,24.1071428571429,466,39.863130881095,33,22.6027397260274,433,42.2700587084149
"3","Q9ESR9",2434,12,252,1427,58.6277732128184,199,78.968253968254,63,75,136,80.952380952381,1228,56.2786434463795,110,59.4594594594595,1118,56.0120240480962
"4","O94911",1581,17,357,1193,75.4585705249842,285,79.8319327731092,95,79.8319327731092,190,79.8319327731092,908,74.1830065359477,135,71.8085106382979,773,74.6411483253589
"5","Q9UG63",623,NA,NA,440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Q9STP8",354,1,21,43,12.1468926553672,0,0,0,0,0,0,43,12.9129129129129,3,100,40,12.1580547112462
"7","P0A6A8",78,NA,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Q06497",328,1,21,237,72.2560975609756,21,100,7,100,14,100,216,70.3583061889251,1,100,215,70.1639344262295
"9","P55064",265,6,126,225,84.9056603773585,126,100,42,100,84,100,99,71.2230215827338,67,91.7808219178082,32,49.2307692307692
"10","P06609",326,10,210,307,94.1717791411043,202,96.1904761904762,69,98.5714285714286,133,95,105,90.5172413793103,71,93.4210526315789,34,85.3658536585366
"11","Q06705",408,4,36,246,60.2941176470588,8,22.2222222222222,4,28.5714285714286,4,18.1818181818182,238,63.9784946236559,21,32.8125,217,70.3583061889251
"12","P08033",283,4,84,230,81.2720848056537,84,100,28,100,56,100,146,73.3668341708543,79,97.5308641975309,67,56.4102564102564
"13","P33413",735,15,315,412,56.0544217687075,219,69.5238095238095,74,70.4761904761905,145,69.5238095238095,193,45.9523809523809,114,58.1632653061224,79,35.4260089686099
"14","P02692",127,NA,NA,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","O07190",301,NA,NA,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","P25596",615,14,294,408,66.3414634146341,257,87.4149659863946,85,86.734693877551,172,87.2448979591837,151,47.0404984423676,110,70.5128205128205,41,25
"17","P04253",628,NA,NA,564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Q9XYN0",361,4,84,275,76.1772853185596,84,100,28,100,56,100,191,68.9530685920578,69,84.1463414634146,122,62.3711340206186
"19","P0ADV9",191,NA,NA,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Q08777",521,12,252,286,54.89443378119,175,69.4444444444444,56,66.6666666666667,119,69.6428571428571,111,41.2639405204461,79,69.9115044247788,32,20.6451612903226
"21","P69212",121,4,84,118,97.5206611570248,82,97.6190476190476,28,100,54,96.4285714285714,36,97.2972972972973,21,100,15,93.3333333333333
"22","P06624",263,6,126,225,85.5513307984791,126,100,42,100,84,100,99,72.2627737226277,65,91.5492957746479,34,52.3076923076923
"23","P60752",582,6,126,578,99.3127147766323,126,100,42,100,84,100,452,99.1228070175439,82,100,370,98.9304812834225
"24","P84997",154,NA,NA,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Q9SAI4",305,6,126,211,69.1803278688525,126,100,42,100,84,100,85,47.4860335195531,66,91.6666666666667,19,17.9245283018868
"26","P70581",585,NA,NA,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Q8R000",340,7,147,269,79.1176470588235,143,97.2789115646258,49,100,94,95.9183673469388,126,65.2849740932643,79,85.8695652173913,47,47
"28","P53844",350,2,18,214,61.1428571428571,8,44.4444444444444,2,33.3333333333333,6,50,206,62.0481927710843,21,72.4137931034483,185,61.2582781456954
"29","Q9S7Z8",640,10,210,339,52.96875,207,98.5714285714286,70,100,137,98.5714285714286,132,30.6976744186047,72,88.8888888888889,60,16.9540229885057
"30","P16446",271,NA,NA,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Q9UKL6",214,NA,NA,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","P40475",563,12,252,241,42.8063943161634,144,57.1428571428571,46,54.7619047619048,98,57.1428571428571,97,31.1897106109325,70,53.030303030303,27,15.0837988826816
"33","Q9NQ40",469,11,231,397,84.6481876332623,231,100,77,100,154,100,166,69.7478991596639,112,94.9152542372881,54,44.5378151260504
"34","Q8TCC7",542,11,231,465,85.7933579335793,231,100,77,100,154,100,234,75.2411575562701,112,97.3913043478261,122,62.0512820512821
"35","Q6P1M0",643,3,63,458,71.2286158631415,42,66.6666666666667,14,66.6666666666667,28,66.6666666666667,416,71.7241379310345,42,70,374,71.868978805395
"36","Q8BGY9",580,13,273,437,75.3448275862069,243,89.010989010989,77,84.6153846153846,166,90.6593406593407,194,63.1921824104234,115,70.9876543209877,79,54.8611111111111
"37","P45843",666,6,126,534,80.1801801801802,105,83.3333333333333,33,78.5714285714286,72,85.7142857142857,429,79.4444444444444,68,94.4444444444444,361,77.3019271948608
"38","P46950",547,6,126,373,68.1901279707495,96,76.1904761904762,28,66.6666666666667,68,82.1428571428571,277,65.7957244655582,57,60.6382978723404,220,67.4846625766871
"39","Q41951",250,6,126,224,89.6,126,100,42,100,84,100,98,79.0322580645161,69,94.5205479452055,29,58
"40","Q07824",586,12,252,266,45.3924914675768,149,59.1269841269841,49,58.3333333333333,100,58.9285714285714,117,35.0299401197605,74,60.1626016260163,43,20.4761904761905
"41","P32837",571,12,252,306,53.5901926444834,192,76.1904761904762,70,83.3333333333333,122,73.8095238095238,114,35.7366771159875,82,49.3975903614458,32,20.9150326797386
"42","Q62668",929,20,420,493,53.0678148546824,233,55.4761904761905,74,52.8571428571429,159,56.0714285714286,260,51.0805500982318,85,57.4324324324324,175,49.4623655913978
"43","Q01501",275,12,108,256,93.0909090909091,105,97.2222222222222,42,100,63,98.4848484848485,151,90.4191616766467,85,91.3978494623656,66,89.041095890411
"44","P39109",1515,17,357,1244,82.1122112211221,295,82.6330532212885,98,82.3529411764706,197,84.453781512605,949,81.9516407599309,173,72.9957805907173,776,84.2733188720174
"45","Q9C8K2",687,6,126,533,77.5836972343523,105,83.3333333333333,30,71.4285714285714,75,88.0952380952381,428,76.2923351158645,66,84.6153846153846,362,75.103734439834
"46","Q42093",1623,17,357,1249,76.9562538508934,301,84.3137254901961,102,85.7142857142857,199,83.6134453781513,948,74.8815165876777,183,75.9336099585062,765,74.7081712062257
"47","Q99758",1704,14,294,1098,64.4366197183099,235,79.9319727891156,80,81.6326530612245,155,79.5918367346939,863,61.2056737588653,117,63.2432432432432,746,60.9120521172638
"48","Q2M3G0",812,6,126,656,80.7881773399015,126,100,42,100,84,100,530,77.2594752186589,79,85.8695652173913,451,75.885328836425
"49","Q9NGP5",1328,12,252,1133,85.316265060241,228,90.4761904761905,72,85.7142857142857,156,92.2619047619048,905,84.1078066914498,148,96.1038961038961,757,82.1932681867535
"50","Q9MA55",668,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","P31224",1049,12,252,1010,96.2821734985701,252,100,84,100,168,100,758,95.1066499372647,144,100,614,94.0275650842266
"52","O95445",188,NA,NA,188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Q9WTY0",276,6,126,224,81.1594202898551,126,100,42,100,84,100,98,65.3333333333333,69,90.7894736842105,29,39.7260273972603
"54","P31553",504,12,252,504,100,252,100,84,100,168,100,252,100,159,100,93,100
"55","A2RTF1",1109,3,63,1109,100,63,100,21,100,42,100,1046,100,52,100,994,100
"56","Q00977",226,4,84,210,92.9203539823009,84,100,28,100,56,100,126,88.7323943661972,73,97.3333333333333,53,78.7878787878788
"57","A2RI01",277,NA,NA,274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","P38225",669,1,21,444,66.3677130044843,0,0,0,0,0,0,444,68.5185185185185,0,0,444,69.2667706708268
"59","P46889",1329,4,84,731,55.0037622272385,37,44.047619047619,14,50,23,42.8571428571429,694,55.7429718875502,37,53.6231884057971,657,55.8297872340425
"60","P38988",300,NA,NA,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","P19807",563,12,252,243,43.1616341030195,140,55.5555555555556,49,58.3333333333333,91,54.1666666666667,103,33.1189710610932,70,43.75,33,22
"62","Q9V427",367,4,84,276,75.2043596730245,84,100,28,100,56,100,192,67.8445229681979,68,82.9268292682927,124,61.5
"63","P0AF98",366,6,126,348,95.0819672131147,117,92.8571428571429,40,95.2380952380952,77,90.4761904761905,231,96.25,71,94.6666666666667,160,96.9512195121951
"64","P0AEY8",410,12,252,275,67.0731707317073,164,65.0793650793651,53,63.0952380952381,111,64.8809523809524,111,70.253164556962,77,76.2376237623762,34,60.7142857142857
"65","P37340",457,11,231,449,98.2494529540481,231,100,77,100,154,100,218,96.4601769911504,125,100,93,92
"66","Q8K1P8",545,12,252,375,68.8073394495413,235,93.2539682539683,80,95.2380952380952,155,92.8571428571429,140,47.7815699658703,94,79.6610169491525,46,26.4367816091954
"67","P0AAT4",415,5,105,208,50.1204819277108,41,39.047619047619,14,40,27,38.5714285714286,167,53.8709677419355,15,24.5901639344262,152,60.8870967741935
"68","P0ADL1",396,12,252,380,95.959595959596,250,99.2063492063492,84,100,166,99.4047619047619,130,90.2777777777778,82,94.2528735632184,48,85.7142857142857
"69","P83434",91,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","P33021",416,10,210,399,95.9134615384615,202,96.1904761904762,69,98.5714285714286,133,95,197,95.631067961165,115,96.6386554621849,82,94.6808510638298
"71","Q80WK2",128,1,21,93,72.65625,20,95.2380952380952,7,100,13,100,73,68.2242990654206,11,100,62,65.2631578947368
"72","P33302",1511,12,252,1229,81.3368630046327,226,89.6825396825397,70,83.3333333333333,156,92.2619047619048,1003,79.6664019062748,149,90.8536585365854,854,78.0621572212066
"73","Q940Y5",619,8,168,495,79.967689822294,164,97.6190476190476,52,92.8571428571429,112,100,331,73.3924611973392,79,95.1807228915663,252,68.3923705722071
"74","Q9UKF7",332,NA,NA,263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","P76037",461,12,252,324,70.2819956616052,197,78.1746031746032,72,85.7142857142857,125,76.1904761904762,127,60.7655502392344,89,68.9922480620155,38,48.1012658227848
"76","P38227",689,12,252,275,39.9129172714078,164,65.0793650793651,54,64.2857142857143,110,65.4761904761905,111,25.4004576659039,77,63.6363636363636,34,11.3564668769716
"77","Q9NWF4",448,11,231,397,88.6160714285714,231,100,77,100,154,100,166,76.4976958525346,113,93.3884297520661,53,54.7368421052632
"78","Q96S37",553,11,231,463,83.7251356238698,231,100,77,100,154,100,232,72.0496894409938,95,95,137,61.5384615384615
"79","Q62773",659,11,231,615,93.3232169954476,231,100,77,100,154,100,384,89.7196261682243,145,97.3154362416107,239,85.6115107913669
"80","P23978",599,12,252,539,89.983305509182,251,99.6031746031746,84,100,167,99.4047619047619,288,82.9971181556196,165,97.0588235294118,123,69.3181818181818
"81","P47008",294,NA,NA,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Q9GQQ0",605,12,252,262,43.3057851239669,154,61.1111111111111,49,58.3333333333333,105,61.9047619047619,108,30.5949008498584,70,49.2957746478873,38,18.8679245283019
"83","P53322",534,12,252,266,49.812734082397,160,63.4920634920635,54,64.2857142857143,106,63.6904761904762,106,37.5886524822695,69,59.4827586206897,37,22.4242424242424
"84","Q06451",622,12,252,294,47.2668810289389,177,70.2380952380952,59,70.2380952380952,118,70.2380952380952,117,31.6216216216216,80,65.0406504065041,37,15.0406504065041
"85","Q9ZPR7",390,10,210,261,66.9230769230769,176,83.8095238095238,65,92.8571428571429,111,80,85,47.2222222222222,53,52.4752475247525,32,42.5
"86","Q3E7B6",73,2,42,70,95.8904109589041,40,95.2380952380952,14,100,26,92.8571428571429,30,96.7741935483871,15,100,15,93.3333333333333
"87","P53241",593,12,252,298,50.2529510961214,181,71.8253968253968,62,73.8095238095238,119,70.8333333333333,117,34.3108504398827,75,59.5238095238095,42,19.6261682242991
"88","P39953",335,2,42,257,76.7164179104478,42,100,14,100,28,100,215,73.3788395904437,34,80.952380952381,181,72.4
"89","Q9LJX0",1252,12,252,1117,89.2172523961661,252,100,84,100,168,100,865,86.5,173,92.0212765957447,692,85.239852398524
"90","O80725",1286,12,252,561,43.6236391912908,126,50,42,50,84,50,435,42.0696324951644,97,51.0526315789474,338,40.0236127508855
"91","P78363",2273,12,252,1629,71.6673999120106,199,78.968253968254,63,75,136,81.547619047619,1430,70.7570509648689,107,61.1428571428571,1323,71.7073170731707
"92","O95342",1321,12,252,1127,85.3141559424678,252,100,84,100,168,100,875,81.8521983161833,175,91.1458333333333,700,79.8634812286689
