"","X","B","C","D","E","X.Seq","F","X.TMS","G","X.interior","GG","X.exterior","FF","X.nonTMS","H","X.close","HH","X.far"
"1","Q9NRA8",985,10,86,572,58.07106599,41,47.6744186,14,38.8888888888889,27,52,531,59.06562848,80,50.314465408805,451,61.0284167794317
"2","P17427",938,0,0,720,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"3","Q8WUX9",453,0,0,157,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"4","P75957",233,0,0,227,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"5","P14907",823,0,0,266,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"6","Q12769",1436,0,0,1007,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"7","P46674",1301,8,74,484,37.20215219,8,10.81081081,3,10,5,13.6363636363636,476,38.79380603,15,11.71875,461,41.9854280510018
"8","O15126",338,4,84,233,68.93491124,84,100,28,100,56,100,149,58.66141732,49,98,100,48.7684729064039
"9","P39742",193,0,0,94,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"10","P0AGA2",443,10,210,332,74.94356659,193,91.9047619,64,91.4285714285714,129,92.8571428571429,139,59.65665236,106,76.8115942028985,33,34.0425531914894
"11","P69423",258,6,126,228,88.37209302,126,100,42,100,84,100,102,77.27272727,69,89.6103896103896,33,62.5
"12","Q9Y5L4",95,0,0,63,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"13","Q12328",207,2,42,112,54.10628019,35,83.33333333,13,92.8571428571429,22,82.1428571428571,77,46.66666667,20,55.5555555555556,57,44.53125
"14","O74700",87,0,0,60,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"15","P0ABV6",142,1,21,112,78.87323944,21,100,7,100,14,100,91,75.20661157,5,83.3333333333333,86,74.5614035087719
"16","O43592",962,6,60,858,89.18918919,47,78.33333333,20,83.3333333333333,27,77.7777777777778,811,89.9113082,79,86.8131868131868,732,90.2469135802469
"17","P61970_NTF2_HUMANNucle",127,0,0,119,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"18","Q9NP78",766,9,189,17,2.219321149,0,0,0,0,0,0,17,2.94627383,2,1.58730158730159,15,3.31858407079646
"19","O54774",1199,0,0,629,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"20","Q9BUN8",251,6,126,217,86.45418327,123,97.61904762,41,97.6190476190476,82,97.6190476190476,94,75.2,48,94.1176470588235,46,62.3376623376623
"21","P75958",414,4,84,373,90.09661836,83,98.80952381,28,100,55,98.2142857142857,290,87.87878788,68,90.6666666666667,222,87.007874015748
"22","P52590",926,2,22,420,45.35637149,11,50,5,50,6,50,409,45.24336283,22,55,387,44.8435689455388
"23","Q80U93",2085,0,0,622,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"24","P0AFY6",406,8,168,325,80.04926108,126,75,42,75,84,74.1071428571429,199,83.61344538,92,81.4159292035398,107,85.7142857142857
"25","P24280",304,0,0,198,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"26","P10408",901,0,0,882,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"27","Q04175",944,2,20,711,75.31779661,13,65,4,50,9,75,698,75.54112554,15,57.6923076923077,683,76.0312151616499
"28","P0A843",67,1,21,52,77.6119403,21,100,7,100,14,100,31,67.39130435,1,100,30,65.9090909090909
"29","P53299",105,0,0,58,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"30","P32897",222,1,21,88,39.63963964,7,33.33333333,0,0,7,50,81,40.29850746,11,100,70,37.037037037037
"31","O23680",297,0,0,181,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"32","P38825",639,1,21,148,23.16118936,0,0,0,0,0,0,148,23.94822006,0,0,148,24.1830065359477
"33","P33941",547,6,126,450,82.26691042,97,76.98412698,35,83.3333333333333,62,75,353,83.847981,50,64.1025641025641,303,88.3381924198251
"34","P97479",2215,0,0,1665,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"35","O43747",822,0,0,552,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"36","Q9C744",869,0,0,560,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"37","O14134",1057,0,0,669,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"38","P34239",828,0,0,668,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"39","Q02630",1113,4,34,196,17.61006289,26,76.47058824,11,78.5714285714286,15,80,170,15.75532901,42,56.7567567567568,128,15.183752417795
"40","Q41050",146,0,0,77,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"41","P32915",480,10,210,456,95,210,100,70,100,140,100,246,91.11111111,137,98.5611510791367,109,84.0909090909091
"42","P21825",274,3,63,231,84.30656934,63,100,21,100,42,100,168,79.62085308,29,100,139,76.5027322404372
"43","P0AG86",155,0,0,150,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"44","Q03518",808,9,189,365,45.17326733,99,52.38095238,35,55.5555555555556,64,50.7936507936508,266,42.97253635,71,51.8248175182482,195,40.5797101449275
"45","P62072",90,0,0,61,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"46","Q07914",168,0,0,86,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"47","P47045",478,0,0,282,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"48","Q38906",313,0,0,158,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"49","Q9TVM2",1063,10,90,508,47.78927563,27,30,12,33.3333333333333,15,29.6296296296296,481,49.43473792,29,32.9545454545455,452,51.0734463276836
