"","X","B","C","D","E","X.Seq","F","X.TMS","G","X.interior","GG","X.exterior","FF","X.nonTMS","H","X.close","HH","X.far"
"1","P08195",630,1,21,291,46.19047619,0,0,0,0,0,0,291,47.78325123,0,0,291,48.7437185929648
"2","Q8GUM3",480,9,189,280,58.33333333,155,82.01058201,51,80.952380952381,104,82.5396825396825,125,42.95532646,77,59.6899224806202,48,30.2469135802469
"3","P25376",633,12,252,369,58.29383886,212,84.12698413,72,85.7142857142857,140,84.5238095238095,157,41.20734908,113,69.7530864197531,44,20.1834862385321
"4","P47082",602,11,231,280,46.51162791,181,78.35497835,62,80.5194805194805,119,76.6233766233766,99,26.68463612,73,58.4,26,11.6
"5","Q9N1R6",487,12,252,308,63.24435318,178,70.63492063,63,75,115,70.2380952380952,130,55.31914894,80,62.5,50,46.2962962962963
"6","P53388",608,12,252,355,58.38815789,204,80.95238095,72,85.7142857142857,132,79.7619047619048,151,42.41573034,109,67.2839506172839,42,21.7616580310881
"7","P75742",493,14,294,390,79.10750507,252,85.71428571,86,87.7551020408163,166,85.2040816326531,138,69.34673367,100,76.9230769230769,38,55.7142857142857
"8","Q8N370",569,12,252,492,86.46748682,241,95.63492063,80,95.2380952380952,161,95.8333333333333,251,79.17981073,123,88.4892086330935,128,72.316384180791
"9","P50276",574,12,252,297,51.74216028,174,69.04761905,65,77.3809523809524,109,66.0714285714286,123,38.19875776,89,56.3291139240506,34,20.8588957055215
"10","Q9Y619",301,0,0,247,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"11","P46032",585,12,252,397,67.86324786,229,90.87301587,77,91.6666666666667,152,90.4761904761905,168,50.45045045,106,66.6666666666667,62,35.8381502890173
"12","Q8K2P7",485,11,231,304,62.68041237,190,82.25108225,65,84.4155844155844,125,81.1688311688312,114,44.88188976,77,59.6899224806202,37,29.8387096774194
"13","P31662",727,12,252,566,77.85419532,252,100,84,100,168,100,314,66.10526316,166,95.4022988505747,148,49.3333333333333
"14","Q07837",685,1,21,306,44.67153285,0,0,0,0,0,0,306,46.08433735,0,0,306,46.9325153374233
"15","P0AAD8",443,11,231,443,100,231,100,77,100,154,100,212,100,136,100,76,100
"16","Q9UPY5",501,12,252,313,62.4750499,181,71.82539683,63,75,118,71.4285714285714,132,53.01204819,93,65.4929577464789,39,36.7924528301887
