"","X","B","C","D","E","X.Seq","F","X.TMS","G","X.interior","GG","X.exterior","FF","X.nonTMS","H","X.close","HH","X.far"
"1","P17516",323,0,0,298,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"2","P11511",503,3,63,340,67.5944334,33,52.38095238,12,57.1428571428571,21,50,307,69.77272727,30,68.1818181818182,277,70.126582278481
"3","P84029",108,0,0,107,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"4","P0ABI8",663,15,315,613,92.45852187,308,97.77777778,105,100,203,97.1428571428571,305,87.64367816,181,94.2708333333333,124,79.6178343949045
"5","Q3E840",82,0,0,69,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"6","Q97GC0",400,0,0,392,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"7","P0A8Q3",119,3,63,119,100,63,100,21,100,42,100,56,100,35,100,21,100
"8","Q8DK70",402,0,0,372,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"9","P0AF32",226,5,105,211,93.36283186,103,98.0952381,35,100,68,98.5714285714286,108,89.25619835,59,83.0985915492958,49,97.9591836734694
"10","P00388",678,1,21,571,84.21828909,20,95.23809524,7,100,13,92.8571428571429,551,83.86605784,8,100,543,83.641975308642
"11","P0AFD1",166,0,0,159,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"12","P0AFE4",100,3,63,99,99,63,100,21,100,42,100,36,97.2972973,19,100,17,94.1176470588235
"13","Q97D83",181,0,0,98,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"14","P33226",390,1,21,238,61.02564103,10,47.61904762,3,42.8571428571429,7,50,228,61.78861789,0,0,228,62.534435261708
"15","P15121",316,0,0,298,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"16","P05177",515,4,84,457,88.73786408,62,73.80952381,21,75,41,73.2142857142857,395,91.64733179,41,70.6896551724138,354,94.9197860962567
"17","P86052",192,0,0,155,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"18","P0ABJ3",204,5,105,194,95.09803922,105,100,35,100,70,100,89,89.8989899,55,91.6666666666667,34,87.5
"19","P36152",348,4,36,185,53.16091954,3,8.333333333,0,0,3,8.33333333333333,182,58.33333333,14,25.9259259259259,168,64.9805447470817
"20","P00363",602,0,0,495,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"21","P92949",725,10,210,380,52.4137931,121,57.61904762,41,58.5714285714286,80,57.1428571428571,259,50.29126214,55,36.6666666666667,204,56.0109289617486
"22","O50463",1231,0,0,899,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"23","P19318",514,4,38,137,26.6536965,0,0,0,0,0,0,137,28.78151261,0,0,137,31.6397228637413
"24","P16603",691,1,21,533,77.13458755,6,28.57142857,3,42.8571428571429,3,21.4285714285714,527,78.65671642,3,100,524,78.6786786786787
"25","P33602",908,8,72,767,84.47136564,40,55.55555556,15,53.5714285714286,25,56.8181818181818,727,86.96172249,63,67.0212765957447,664,89.4736842105263
"26","P33607",613,16,336,599,97.71615008,327,97.32142857,111,99.1071428571429,216,97.3214285714286,272,98.19494585,157,98.125,115,97.5206611570248
"27","Q93PP8",62,0,0,57,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"28","Q9BRA2",123,0,0,89,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"29","P27338",520,1,21,317,60.96153846,3,14.28571429,1,14.2857142857143,2,14.2857142857143,314,62.9258517,0,0,314,64.476386036961
"30","P13498",195,4,84,115,58.97435897,35,41.66666667,11,39.2857142857143,24,42.8571428571429,80,72.07207207,25,64.1025641025641,55,76.7123287671233
"31","P00045",113,0,0,107,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"32","P0ABJ6",109,3,63,94,86.23853211,63,100,21,100,42,100,31,67.39130435,19,82.6086956521739,12,50
"33","P38117",255,0,0,227,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"34","P0C278",571,0,0,372,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"35","P80882",75,0,0,67,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"36","O15229",486,2,42,364,74.89711934,26,61.9047619,7,50,19,67.8571428571429,338,76.12612613,24,70.5882352941177,314,76.7726161369193
"37","P14598",390,0,0,133,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"38","Q9AL95",379,0,0,306,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"39","P0AFD4",325,8,168,325,100,168,100,56,100,112,100,157,100,93,100,64,100
"40","P0AFE8",509,14,294,491,96.46365422,294,100,98,100,196,100,197,91.62790698,128,91.4285714285714,69,92.1052631578947
"41","Q9AL94",54,0,0,53,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
