"","X","B","C","D","E","X.Seq","F","X.TMS","G","X.interior","GG","X.exterior","FF","X.nonTMS","H","X.close","HH","X.far"
"1","Q9SJE9",493,6,126,370,75.05070994,122,96.82539683,42,100,80,97.6190476190476,248,67.57493188,42,87.5,206,64.4654088050314
"2","Q06598",404,10,210,338,83.66336634,210,100,70,100,140,100,128,65.97938144,90,84.1121495327103,38,44.1860465116279
"3","Q8VIM4",307,2,42,307,100,42,100,14,100,28,100,265,100,16,100,249,100
"4","Q06143",298,0,0,252,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"5","O95255",1503,16,336,1258,83.69926813,286,85.11904762,92,82.1428571428571,194,87.0535714285714,972,83.29048843,179,77.1551724137931,793,84.8290598290598
"6","A0QQ68",532,12,252,149,28.0075188,71,28.17460317,23,27.3809523809524,48,28.5714285714286,78,27.85714286,53,32.3170731707317,25,21.3675213675214
"7","P27514",894,14,294,569,63.64653244,247,84.01360544,83,84.6938775510204,164,84.1836734693878,322,53.66666667,96,72.1804511278195,226,48.936170212766
"8","Q9SZY4",577,12,252,398,68.97746967,229,90.87301587,77,91.6666666666667,152,90.4761904761905,169,52,105,65.625,64,39.0243902439024
"9","Q86WA9",606,10,210,526,86.79867987,206,98.0952381,70,100,136,97.1428571428571,320,80.80808081,115,85.8208955223881,205,78.4090909090909
"10","P33303",322,0,0,251,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"11","Q9EPT5",643,12,252,546,84.91446345,244,96.82539683,84,100,160,95.2380952380952,302,77.23785166,166,90.7103825136612,136,65.7004830917874
"12","P04840",283,14,126,278,98.23321555,124,98.41269841,46,100,78,98.75,154,98.08917197,101,97.1153846153846,53,100
"13","Q00582",310,0,0,152,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"14","P41440",591,12,252,408,69.03553299,244,96.82539683,84,100,160,95.8333333333333,164,48.37758112,93,78.8135593220339,71,32.2727272727273
"15","Q07307",574,12,252,411,71.60278746,233,92.46031746,82,97.6190476190476,151,91.6666666666667,178,55.27950311,100,69.4444444444444,78,44.0677966101695
