"","X","B","C","D","E","X.Seq","F","X.TMS","G","X.interior","GG","X.exterior","FF","X.nonTMS","H","X.close","HH","X.far"
"1","Q0WML0",644,6,126,398,61.80124224,115,91.26984127,38,90.4761904761905,77,91.6666666666667,283,54.63320463,83,88.2978723404255,200,47.2941176470588
"2","Q09429",1582,17,357,1264,79.8988622,302,84.59383754,99,83.1932773109244,203,85.7142857142857,962,78.53061224,190,76.3052208835341,772,79.1624106230848
"3","Q6NXK8",526,2,42,382,72.62357414,42,100,14,100,28,100,340,70.24793388,34,80.952380952381,306,69.3877551020408
"4","Q08269",859,2,42,349,40.62863795,25,59.52380952,7,50,18,60.7142857142857,324,39.65728274,15,50,309,39.3129770992366
"5","P38731",627,15,315,403,64.27432217,272,86.34920635,95,90.4761904761905,177,85.2380952380952,131,41.98717949,94,61.437908496732,37,24.375
"6","P81450",59,0,0,58,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"7","O75964",103,0,0,103,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"8","P0ABB0",513,0,0,513,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"9","P0ABA0",156,1,21,156,100,21,100,7,100,14,100,135,100,3,100,132,100
"10","P38360",1216,8,168,663,54.52302632,139,82.73809524,49,87.5,90,82.1428571428571,524,50,60,65.9340659340659,464,48.4309623430962
"11","Q00975",2339,21,441,1912,81.74433519,434,98.41269841,147,100,287,98.2993197278912,1478,77.87144362,303,92.6605504587156,1175,74.8091603053435
"12","O60840",1977,21,441,1606,81.23419322,412,93.42403628,140,95.2380952380952,272,92.8571428571429,1194,77.734375,331,88.7399463806971,863,74.1824440619621
"13","P54284",484,0,0,374,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"14","Q05596",271,0,0,263,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"15","O22920",831,14,294,488,58.7244284,237,80.6122449,85,86.734693877551,152,77.5510204081633,251,46.74115456,81,61.3636363636364,170,42.1182266009852
"16","P0A2R8",316,2,42,270,85.44303797,42,100,14,100,28,100,228,83.21167883,15,68.1818181818182,213,84.4621513944223
"17","Q06686",241,3,63,101,41.90871369,63,100,21,100,42,100,38,21.34831461,22,48.8888888888889,16,13.4328358208955
"18","Q8BVN3",442,5,105,357,80.76923077,101,96.19047619,35,100,66,94.2857142857143,256,75.96439169,79,97.5308641975309,177,69.0196078431373
"19","P40988",552,7,147,400,72.46376812,142,96.59863946,49,100,93,94.8979591836735,258,63.7037037,88,73.9495798319328,170,59.6491228070175
"20","Q9H936",323,4,84,245,75.85139319,82,97.61904762,28,100,54,96.4285714285714,163,68.20083682,50,84.7457627118644,113,63.1284916201117
"21","Q84TI7",506,10,210,416,82.21343874,202,96.19047619,69,98.5714285714286,133,95,214,72.2972973,114,74.5098039215686,100,70.5479452054795
"22","Q9JM63",379,2,42,338,89.18205805,42,100,14,100,28,100,296,87.83382789,42,100,254,86.0544217687075
